comparison,protofilament_count,coherent_dimers,coherence_fraction,separation_m,eg_model,eg_j,tau_s,decoherence_estimate,decoherence_s,or_favorable,margin_log10,geometry_source_ids,decoherence_source_ids,note
geometry_vs_decoherence,1,13,0.100000,1.000000e-08,gaussian,1.033677e-45,1.020214e+11,ion_collision_damping_proxy,1.000000e-13,no,-24.008691,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ion-collision or solvent-scattering damping; bounded sensitivity row only.
geometry_vs_decoherence,1,13,0.100000,1.000000e-08,gaussian,1.033677e-45,1.020214e+11,water_map_protection_proxy,3.162278e-03,no,-13.508691,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ordered-water or MAP-protected coherence; bounded sensitivity row only.
geometry_vs_decoherence,1,130,1.000000,1.000000e-09,gaussian,1.644202e-42,6.413883e+07,tegmark_microtubule_critical,3.162278e-17,no,-24.307121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,tegmark_2000_decoherence,Tegmark's critical brain/microtubule decoherence range.
geometry_vs_decoherence,1,130,1.000000,1.000000e-09,gaussian,1.644202e-42,6.413883e+07,hagan_corrected_orch_or,3.162278e-05,no,-12.307121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Hagan/Hameroff/Tuszynski corrected estimate range.
geometry_vs_decoherence,1,130,1.000000,1.000000e-09,gaussian,1.644202e-42,6.413883e+07,hagan_actin_gel_extension,3.162278e-02,no,-9.307121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Additional actin-gel enhancement range asserted by Hagan/Hameroff/Tuszynski.
geometry_vs_decoherence,1,130,1.000000,1.000000e-09,gaussian,1.644202e-42,6.413883e+07,ion_collision_damping_proxy,1.000000e-13,no,-20.807121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ion-collision or solvent-scattering damping; bounded sensitivity row only.
geometry_vs_decoherence,1,130,1.000000,1.000000e-09,gaussian,1.644202e-42,6.413883e+07,water_map_protection_proxy,3.162278e-03,no,-10.307121,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ordered-water or MAP-protected coherence; bounded sensitivity row only.
geometry_vs_decoherence,1,130,1.000000,1.000000e-08,gaussian,1.746913e-41,6.036772e+06,tegmark_microtubule_critical,3.162278e-17,no,-23.280805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,tegmark_2000_decoherence,Tegmark's critical brain/microtubule decoherence range.
geometry_vs_decoherence,1,130,1.000000,1.000000e-08,gaussian,1.746913e-41,6.036772e+06,hagan_corrected_orch_or,3.162278e-05,no,-11.280805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Hagan/Hameroff/Tuszynski corrected estimate range.
geometry_vs_decoherence,1,130,1.000000,1.000000e-08,gaussian,1.746913e-41,6.036772e+06,hagan_actin_gel_extension,3.162278e-02,no,-8.280805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Additional actin-gel enhancement range asserted by Hagan/Hameroff/Tuszynski.
geometry_vs_decoherence,1,130,1.000000,1.000000e-08,gaussian,1.746913e-41,6.036772e+06,ion_collision_damping_proxy,1.000000e-13,no,-19.780805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ion-collision or solvent-scattering damping; bounded sensitivity row only.
geometry_vs_decoherence,1,130,1.000000,1.000000e-08,gaussian,1.746913e-41,6.036772e+06,water_map_protection_proxy,3.162278e-03,no,-9.280805,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ordered-water or MAP-protected coherence; bounded sensitivity row only.
geometry_vs_decoherence,1,130,0.500000,1.000000e-09,gaussian,4.110504e-43,2.565553e+08,tegmark_microtubule_critical,3.162278e-17,no,-24.909181,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,tegmark_2000_decoherence,Tegmark's critical brain/microtubule decoherence range.
geometry_vs_decoherence,1,130,0.500000,1.000000e-09,gaussian,4.110504e-43,2.565553e+08,hagan_corrected_orch_or,3.162278e-05,no,-12.909181,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Hagan/Hameroff/Tuszynski corrected estimate range.
geometry_vs_decoherence,1,130,0.500000,1.000000e-09,gaussian,4.110504e-43,2.565553e+08,hagan_actin_gel_extension,3.162278e-02,no,-9.909181,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Additional actin-gel enhancement range asserted by Hagan/Hameroff/Tuszynski.
geometry_vs_decoherence,1,130,0.500000,1.000000e-09,gaussian,4.110504e-43,2.565553e+08,ion_collision_damping_proxy,1.000000e-13,no,-21.409181,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ion-collision or solvent-scattering damping; bounded sensitivity row only.
geometry_vs_decoherence,1,130,0.500000,1.000000e-09,gaussian,4.110504e-43,2.565553e+08,water_map_protection_proxy,3.162278e-03,no,-10.909181,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,microtubule_energy_transport_kalra_2022,Proxy for ordered-water or MAP-protected coherence; bounded sensitivity row only.
geometry_vs_decoherence,1,130,0.500000,1.000000e-08,gaussian,4.367284e-42,2.414709e+07,tegmark_microtubule_critical,3.162278e-17,no,-23.882865,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,tegmark_2000_decoherence,Tegmark's critical brain/microtubule decoherence range.
geometry_vs_decoherence,1,130,0.500000,1.000000e-08,gaussian,4.367284e-42,2.414709e+07,hagan_corrected_orch_or,3.162278e-05,no,-11.882865,diosi_2021_collapse_rate;microtubule_structure_nogales_1998;microtubule_lattice_nogales_1999;tubulin_atomic_lowe_2001,hagan_2000_decoherence_reply,Hagan/Hameroff/Tuszynski corrected estimate range.
